en_ar_DEEP	QuadClass
كما قامت كولومبيا وتشيلي وباراغواي وبيرو بإصدار تشريعات تمنح سلطات إنفاذ القانون فيها صلاحيات تحقيقية خاصة.	4
ولكن على الرغم من أن الفريق لا يرى أن المشورة الفنية شبه العسكرية المتاحة على الإنترنت تشكل تهديدا على قدم المساواة مع التدريب في الحياة الواقعية، فإن الإمكانية ستزداد مع تحسن جودة المشورة.	1
وشدد على ضرورة تعزيز الحوار داخل المؤسسات الاتحادية الانتقالية وشجع محاوريه على استخدام نفوذهم لتحقيق هذه الغاية.	4
ولا يمكن إنكار أن المخاطر كبيرة، لأن الفشل في الالتزام بالموعد النهائي للاستفتاءين المنصوص عليه في اتفاق السلام الشامل يمكن أن يكون له عواقب وخيمة.	3
وأعرب بعض أعضاء المجلس عن قلقهم لأنه لم يكن من الممكن بعد إحراز تقدم في التحقيقات في الجرائم التي ارتكبها المتمردون.	4
وعلى سبيل المثال، عملت المديرية التنفيذية للجنة مكافحة الإرهاب على نطاق واسع مع الدول لبناء قدراتها على إدارة الحدود من أجل مراقبة الحركات الإرهابية وقدراتها في مجال العدالة الجنائية على معالجة غسل الأموال.	2
7. يدعو جميع الدول إلى التصرف بدقة وفقا لأحكام هذا القرار، بغض النظر عن وجود أي حقوق أو التزامات ممنوحة أو مفروضة بموجب أي اتفاق دولي أو أي عقد مبرم أو أي ترخيص أو تصريح ممنوح قبل تاريخ صدوره. دخول التدابير المفروضة بموجب الفقرة 4 أعلاه حيز التنفيذ؛	4
2. يدعو الحكومة السورية إلى التنفيذ الواضح لالتزاماتها في مجملها، كما وافقت على القيام بذلك في التفاهم الأولي وعلى النحو المنصوص عليه في القرار 2042 (2012)، من أجل (أ) وقف تحركات القوات نحو المراكز السكانية، (ب) وقف جميع أشكال استخدام الأسلحة الثقيلة في هذه المراكز، (ج) الانسحاب الكامل للتمركزات العسكرية داخل المراكز السكانية وما حولها، وكذلك سحب قواتها وأسلحتها الثقيلة من المراكز السكانية إلى ثكناتها أو أماكن انتشارها المؤقتة لتسهيل الوقف المستمر للعنف ;	3
جمهورية أفريقيا الوسطى ووحدة الحراسة التابعة لها، وفرقة العمل الإقليمية التابعة للاتحاد الأفريقي، والقوات الفرنسية المنتشرة في جمهورية أفريقيا الوسطى (الفقرة 54 (أ))؛ الإمدادات من المعدات العسكرية غير الفتاكة المخصصة للاستخدام الإنساني أو الوقائي فقط، وما يتصل بذلك من مساعدة تقنية أو تدريب (الفقرة 54 (ب))؛ الملابس الواقية، بما في ذلك السترات الواقية من الرصاص والخوذات العسكرية، التي يصدرها مؤقتا إلى جمهورية أفريقيا الوسطى موظفو الأمم المتحدة وممثلو وسائط الإعلام والعاملون في المجال الإنساني والإنمائي والأفراد المرتبطون بهم، لاستخدامهم الشخصي فقط (الفقرة 54 (ج))؛ إمدادات الأسلحة الصغيرة وغيرها من المعدات ذات الصلة المخصصة فقط للاستخدام في الدوريات الدولية التي توفر الأمن في المنطقة المحمية الثلاثية لنهر سانغا للدفاع ضد الصيد غير المشروع وتهريب العاج والأسلحة وغيرها من الأنشطة المخالفة للقوانين الوطنية لجمهورية أفريقيا الوسطى أو وبالالتزامات القانونية الدولية لجمهورية أفريقيا الوسطى (الفقرة 54 (د))؛ إمدادات الأسلحة والمعدات الفتاكة الأخرى ذات الصلة إلى قوات الأمن في جمهورية أفريقيا الوسطى، المخصصة حصراً لدعم عملية إصلاح القطاع الأمني ​​في جمهورية أفريقيا الوسطى أو استخدامها فيها، على النحو الذي وافقت عليه اللجنة مسبقاً (الفقرة 54 (هـ)) ; أو عمليات بيع أو توريد أخرى للأسلحة والأعتدة ذات الصلة، أو تقديم المساعدة أو الأفراد (الفقرة 54 (و)).	2
على سبيل المثال، أجرت بولندا وكرواتيا، بدعم من مكتب شؤون نزع السلاح، استعراض نظراء لتنفيذهما للقرار، يتألف من جولتين من المناقشات والأنشطة في وارسو وزغرب، راقبها خبراء اللجنة. وقد ساعد استعراض النظراء هذا على تحديد الممارسات الفعالة وتسهيل تبادل الخبرات.	2
