en_es_DEEPL	QuadClass
Colombia, Chile, Paraguay y Perú también han promulgado leyes que otorgan a sus autoridades policiales poderes especiales de investigación.	4
Pero, aunque el Equipo no considera que el asesoramiento técnico paramilitar disponible en Internet represente una amenaza equiparable a la formación en la vida real, el potencial aumentará a medida que mejore la calidad del asesoramiento.	1
Insistió en la necesidad de fomentar el diálogo en el seno de las instituciones federales de transición y animó a sus interlocutores a utilizar su influencia con este fin.	4
Es innegable que hay mucho en juego, ya que el incumplimiento del plazo para los referendos prescrito por el Acuerdo General de Paz podría tener graves consecuencias.	3
Algunos miembros del Consejo expresaron su preocupación por el hecho de que aún no se haya podido avanzar en la investigación de los crímenes cometidos por los rebeldes.	4
La Dirección Ejecutiva del Comité contra el Terrorismo, por ejemplo, ha trabajado intensamente con los Estados para reforzar su capacidad de gestión de fronteras para controlar los movimientos terroristas y su capacidad de justicia penal para hacer frente al blanqueo de capitales.	2
7. Exhorta a todos los Estados a que actúen estrictamente de conformidad con las disposiciones de la presente resolución, no obstante la existencia de cualesquiera derechos u obligaciones conferidos o impuestos por cualquier acuerdo internacional o cualquier contrato celebrado o cualquier licencia o permiso concedido antes de la fecha de entrada en vigor de las medidas impuestas por el párrafo 4 supra;	4
2. Exhorta al gobierno sirio a que cumpla visiblemente sus compromisos en su totalidad, tal y como acordó hacer en el Entendimiento Preliminar y como se estipula en la resolución 2042 (2012), para (a) cesar los movimientos de tropas hacia los centros de población, (b) cesar todo uso de armamento pesado en dichos centros, (c) la retirada completa de las concentraciones militares en los centros de población y sus alrededores, así como retirar sus tropas y armamento pesado de los centros de población a sus cuarteles o lugares de despliegue temporal para facilitar un cese sostenido de la violencia;	3
República Centroafricana y su unidad de guardia, la Fuerza de Tarea Regional de la Unión Africana y las fuerzas francesas desplegadas en la República Centroafricana (párr. 54 (a)); suministros de equipo militar no mortífero destinado únicamente a uso humanitario o de protección, y asistencia técnica o capacitación conexas (párr. 54 (b)); ropa de protección, incluidos chalecos antibalas y cascos militares, exportados temporalmente a la República Centroafricana por personal de las Naciones Unidas, representantes de los medios de comunicación y trabajadores humanitarios y de desarrollo y personal asociado, exclusivamente para su uso personal (párr. 54 (c)); suministros de armas pequeñas y otros equipos conexos destinados exclusivamente a ser utilizados en patrullas internacionales que proporcionan seguridad en la Zona Trinacional Protegida del Río Sangha para defenderse de la caza furtiva, el contrabando de marfil y armas, y otras actividades contrarias a las leyes nacionales de la República Centroafricana o a las obligaciones jurídicas internacionales de la República Centroafricana (párr. 54 (d)); suministros de armas y otros equipos letales conexos a las fuerzas de seguridad de la República Centroafricana, destinados exclusivamente a apoyar o utilizar en el proceso de reforma del sector de la seguridad en la República Centroafricana, según lo aprobado previamente por el Comité (párr. 54 (e)); u otras ventas o suministro de armas y material conexo, o suministro de asistencia o personal (párr. 54 (f)).	2
Por ejemplo, Croacia y Polonia, con el apoyo de la Oficina de Asuntos de Desarme, llevaron a cabo una revisión paritaria de su aplicación de la resolución, consistente en dos rondas de debates y actividades en Varsovia y Zagreb, que los expertos del Comité observaron. Dicha revisión inter pares contribuyó a identificar prácticas eficaces y facilitó el intercambio de experiencias.	2
Ha mantenido numerosos intercambios con el Gobierno marroquí, que, antes de aceptar la reanudación de la diplomacia itinerante, ha solicitado una reunión para aclarar sus preocupaciones en relación con el último informe del Secretario General (S/2014/258), precisando que Marruecos considera que ello permitiría que el proceso avanzara de la mejor manera posible.	4
Sin embargo, a pesar de la creciente atención y de los recientes avances positivos en este ámbito, siguen existiendo numerosos problemas sobre el terreno en lo que respecta a la aplicación, en particular problemas relacionados con la continua falta de claridad en torno al concepto y la operacionalización de la protección de civiles, los mecanismos de coordinación interna y externa, la alerta temprana y la respuesta rápida, el apoyo a las fuerzas de seguridad del gobierno anfitrión, las capacidades de las tropas y la dotación de recursos.	3
15. Desde mi informe de 2 de enero de 2008 al Consejo de Seguridad (S/2008/1), la ONUCI ha retirado todos excepto 2 de los 17 puestos de observación que había establecido a lo largo de la línea verde, de conformidad con las disposiciones del Acuerdo de Uagadugú.	2
50. El Relator Especial sobre la promoción y la protección de los derechos humanos y las libertades fundamentales en la lucha contra el terrorismo realizó una visita oficial a Burkina Faso del 8 al 12 de abril de 2013, por invitación del Gobierno, para recabar información sobre la situación actual en Burkina Faso y ayudar así al Gobierno en sus esfuerzos por combatir el terrorismo respetando los derechos humanos y promover la aplicación de los instrumentos internacionales.	2
El objetivo era mejorar la seguridad en la región, reforzar la Alianza del Valle del Juba y reconciliar al general "Morgan" y a la Alianza, que llevan varios años disputándose territorios en el valle del Juba.	2
Los Estados deben abstenerse de inhibir a los actores humanitarios en sus esfuerzos por involucrar a los grupos armados no estatales con fines humanitarios, incluida la realización de actividades destinadas a promover el respeto del derecho internacional humanitario.	3
Insta a los Estados miembros a que garanticen una mayor representación de las mujeres en todos los niveles de toma de decisiones de las instituciones y mecanismos nacionales, regionales e internacionales para la prevención, gestión y resolución de conflictos.	4
38. Encarga al Comité que identifique posibles casos de incumplimiento de las medidas de conformidad con el párrafo 1 supra y que determine el curso de acción apropiado en cada caso, y pide al Presidente que, en los informes periódicos que presente al Consejo de conformidad con el párrafo 46 infra, facilite informes sobre la marcha de los trabajos del Comité a este respecto;	2
H. Prevenir y responder a la explotación y el abuso sexuales por parte del personal de las Naciones Unidas, el personal conexo y los asociados de las Naciones Unidas;	2
6. Sobre la base de la revisión exhaustiva de todas las entradas de la Lista completada en 2010, de conformidad con el párrafo 25 de la resolución 1822 (2008), el Comité ha puesto en marcha desde entonces numerosos mecanismos para garantizar que la Lista refleje de la mejor manera posible la amenaza que representa Al-Qaida y para garantizar que cada entrada se revise periódicamente para determinar si es apropiado seguir incluyéndola en la Lista.	2
Tres Estados han introducido procedimientos que prohíben la extradición de personas que puedan correr riesgo de tortura o persecución.	2
Garantizar la coordinación y aplicación efectivas de la política de acción contra las minas y de las directrices de género para los programas de acción contra las minas. Grupo de Trabajo Interinstitucional sobre desarme, desmovilización y reintegración (presidido por el DOMP y el PNUD) Establecido por el ECPS para mejorar la actuación de la Organización en el ámbito del desarme, la desmovilización y la reintegración, el Grupo de Trabajo Interinstitucional proporciona asesoramiento estratégico, en particular sobre las necesidades de formación, las políticas y las estrategias; mantiene y revisa el conjunto desarrollado de orientaciones de las Naciones Unidas sobre desarme, desmovilización y reintegración; desarrolla y gestiona el Centro de Recursos de las Naciones Unidas sobre desarme, desmovilización y reintegración; y facilita la planificación de operaciones de desarme, desmovilización y reintegración entre los organismos pertinentes de las Naciones Unidas.	2
También expresó que el fracaso del Parlamento libanés a la hora de elegir un nuevo Presidente había socavado la estabilidad del Líbano y su resistencia desde el comienzo del conflicto en la República Árabe Siria.	3
Las mujeres y los niños, especialmente las niñas, se han visto afectados por la violencia y los conflictos de reciente aparición asociados a la proliferación de milicias y grupos armados, en algunos casos vinculados al extremismo violento, mientras que muchos conflictos prolongados siguen sin resolverse.	1
60. Apoyar el restablecimiento y la extensión de un nivel mínimo de autoridad estatal sostenible a las zonas liberadas de los grupos armados exige un mayor compromiso por parte del Gobierno para desplegar la administración del Estado, incluida la policía y el personal judicial y penitenciario con los recursos necesarios.	2
"El Consejo de Seguridad insta a los Estados y a las organizaciones internacionales, así como al sector privado, a que compartan pruebas, información e inteligencia, según proceda, con fines policiales de lucha contra la piratería, en particular para garantizar el enjuiciamiento efectivo de los presuntos piratas y el encarcelamiento de los condenados, y alienta las iniciativas existentes y futuras a este respecto.	4
En otro caso, el Tribunal volvió a considerar los diferentes elementos de un ataque dirigido contra una población civil como parte de la definición de crímenes contra la humanidad.	4
En respuesta, el Departamento de Justicia de la UNMIK creó un grupo de trabajo conjunto con el pilar de desarrollo institucional para estudiar el informe y desarrollar formas de aplicar sus recomendaciones.	4
43. Reitera la necesidad de mejorar la cooperación en curso entre el Comité, el Comité contra el Terrorismo y el Comité establecido en virtud de la resolución 1540 (2004), así como sus respectivos grupos de expertos, incluso, según proceda, mediante un mayor intercambio de información, la coordinación de las visitas a los países comprendidos en sus respectivos mandatos, la facilitación y supervisión de la asistencia técnica, sobre las relaciones con las organizaciones y organismos internacionales y regionales y sobre otras cuestiones de interés para los tres comités, expresa su intención de proporcionar orientación a los comités sobre ámbitos de interés común a fin de coordinar mejor sus esfuerzos y facilitar dicha cooperación, y pide al Secretario General que adopte las disposiciones necesarias para que los grupos se reúnan lo antes posible;	2
(a) Seguir mejorando su cooperación con las organizaciones internacionales, regionales y subregionales y desarrollar formas de operar con esas organizaciones caso por caso, reflejando la variación en la capacidad y el mandato de cada organización, incluidos los intercambios a nivel de trabajo, las sesiones informativas para y desde el Comité y la mejora de los acuerdos de intercambio de información;	2
"El Consejo de Seguridad condena enérgicamente los ataques deliberados de combatientes contra civiles en conflictos armados y exige que todas las partes implicadas pongan fin a tales violaciones del derecho internacional humanitario y de los derechos humanos.	3
Los Estados también deben impedir que quienes financian, planifican, facilitan o cometen actos terroristas utilicen sus respectivos territorios para esos fines contra otros Estados o sus ciudadanos (apartado d) del párrafo 2).	2
(d) Apoyar de cualquier otro modo los actos o actividades de las personas designadas y de otras personas, grupos, empresas y entidades asociados con los talibanes por constituir una amenaza para la paz, la estabilidad y la seguridad de Afganistán;	1
(a) un Grupo de Supervisión en Nueva York de hasta cinco expertos, incluido un Presidente, para supervisar la aplicación de todas las medidas impuestas por las resoluciones 1267 (1999) y 1333 (2000), incluso en los ámbitos de los embargos de armas, la lucha contra el terrorismo y la legislación conexa y, habida cuenta de la relación existente entre la compra de armas y la financiación del terrorismo, el blanqueo de dinero, las transacciones financieras y el tráfico de drogas; y	2
El régimen detuvo a unas 47 personas que, al parecer, habían sido reclutadas a la fuerza para unirse a las fuerzas del régimen.	1
Además, escuadrones de la muerte y milicias formadas por elementos autónomos siembran el terror y llevan a cabo ejecuciones y secuestros.	1
(c) Exhorta además a todas las partes enumeradas en los anexos del informe del Secretario General sobre los niños y los conflictos armados a que se ocupen de todas las demás violaciones y abusos cometidos contra los niños y asuman compromisos y medidas específicas a este respecto;	4
En su 4170ª sesión, celebrada el 13 de julio, el Consejo adoptó la resolución 1307 (2000), en la que, entre otras cosas, autorizaba la prórroga del mandato de la UNMOP para seguir supervisando la desmilitarización de la península hasta el 15 de enero de 2001.	2
El objetivo del Consejo de Seguridad debe ser ahora asegurar a los tribunales que el régimen de sanciones establecido en virtud de la resolución 1267 (1999) del Consejo de Seguridad (el régimen de sanciones 1267) es justo y, con el mayor apoyo de los Estados miembros, reafirmar su propósito original de librar al mundo de la amenaza del terrorismo de Al-Qaida, los talibanes y sus asociados incluidos en la lista.	2
Un problema adicional era el hecho de que el Gobierno aparentemente no disponía de suficientes recursos militares, ya que muchas de sus fuerzas seguían situadas en el sur, y las presentes en Darfur se encontraban principalmente en los principales centros urbanos.	1
8 de mayo de 2006 Incidente violento en Gleno en el que son agredidos agentes de la PNTL del este.	1
El equipo de mediación entabló conversaciones bilaterales con el Gobierno y la Coordinación, compuesta por el Movimiento Nacional para la Liberación del Azawad (MNLA), el Alto Consejo para la Unidad del Azawad (HCUA) y el Movimiento Árabe del Azawad (MAA), a los que se unieron individuos de la Coordination des mouvements et fronts patriotiques de résistance II (CMFPR-II) y una facción de la Coalition du peuple de l'Azawad (CPA), por un lado, y con el Gobierno y la Plataforma grupos armados compuestos por la CMFPR-I, la CPA y la otra facción del MAA, así como individuos del Groupe d'autodéfense touareg Imghad et alliés (GATIA) invitados por la Plataforma, por otro.	4
(h) Elaborar metodologías para mejorar la eficacia de la cooperación con los distintos Estados, las organizaciones subregionales, regionales e internacionales, los acuerdos multilaterales que se ocupan del control de las exportaciones y las entidades pertinentes del sistema de las Naciones Unidas, y evaluar el nivel de cooperación entre los Comités establecidos en virtud de las resoluciones 1540 (2004), 1267 (1999) y 1373 (2001), evaluando, en particular, el nivel de intercambio de información y de coordinación en las visitas a los países, y formular recomendaciones concretas, si procede, para mejorar la cooperación.	2
31. Los Estados y muchos actores internacionales acogieron con satisfacción la apertura del proceso de examen exhaustivo e instaron al Comité 1540 a continuar con este enfoque y a aumentar sus ya útiles esfuerzos para lograr la transparencia y la inclusión.	4
Atacaron y mataron a 54 personas, hirieron a otras 24 e incendiaron casas antes de retirarse con ganado y enseres domésticos saqueados.	1
También hemos programado dos debates temáticos, sobre la prevención de conflictos y los niños en los conflictos armados, los días 20 y 26 de julio, respectivamente.	4
103. La FACI ha trasladado todos sus medios aéreos supervivientes y dañados a su base aérea del aeropuerto internacional de Abiyán.	2
En Lerneb (región de Tombuctú), en septiembre, el MAA (Plataforma) advirtió en varias reuniones públicas que castigaría a los miembros de la población local que proporcionaran información a la MINUSMA y a las fuerzas francesas. El 23 de septiembre, se encontró el cadáver de un hombre decapitado en la zona de Zouera, 80 km al norte de Tombuctú. Era uno de los cinco hombres secuestrados el 16 de septiembre por AQMI, y acusados por esta organización de colaborar con las fuerzas internacionales, que desde entonces han desaparecido.	1
121. Los Janjaweed a los que se refieren la mayoría de las víctimas en el conflicto actual son milicias árabes que asaltan las aldeas de esas víctimas, montados en caballos o camellos, y matan, saquean, queman y violan.	1
Además, la Unión Europea aplica un régimen supranacional destinado a garantizar la congelación de fondos y activos terroristas en todos sus Estados miembros.	2
23. Pide al Equipo encargado de prestar apoyo analítico y vigilar la aplicación de las sanciones que, en estrecha cooperación con otros órganos de las Naciones Unidas de lucha contra el terrorismo, presente un informe al Comité establecido en virtud de las resoluciones 1267 (1999) y 1989 (2011) en un plazo de 180 días, y facilite una actualización oral preliminar al Comité en un plazo de 60 días, sobre la amenaza que plantean los combatientes terroristas extranjeros reclutados por el EIIL, el FNA y todos los grupos, empresas y entidades asociados con Al-Qaida, incluidos:	2
Más tarde, en 2006, la Asamblea General adoptó por unanimidad la Estrategia Global de las Naciones Unidas contra el Terrorismo, de gran importancia para reafirmar el compromiso colectivo de la comunidad internacional en la lucha contra la amenaza común del terrorismo.	2
Estaciones de agua o El 23 de noviembre de 2014, el ISIS detonó un coche bomba cerca de una planta de purificación en el pueblo de Midan, Hasakeh, dañando gravemente la planta. Centrales eléctricas	1
94. A pesar de los recientes avances, las limitaciones logísticas, políticas y de seguridad harán que la desmovilización y reintegración prevista de 180.000 excombatientes para el final del período del Acuerdo General de Paz sea extremadamente difícil.	1
El Gobierno y el equipo de las Naciones Unidas en el país, con aportaciones del Banco Mundial, prepararon un folleto sobre los Objetivos, en el que se esboza la situación actual de Timor Oriental y se exponen las implicaciones políticas para alcanzar las metas y los indicadores.	2
En muchas zonas del país, sin embargo, no hay capacidad de detención ni tribunales en funcionamiento, lo que obliga a las fuerzas del orden a liberar a los presuntos autores peligrosos o a solicitar que los contingentes de la MONUC confinen a los sospechosos por razones de seguridad y protección de la población civil.	1
Seis hombres murieron y fueron enterrados en tumbas individuales.	1
El Departamento es responsable de la gestión y administración del Cuerpo de Protección de Kosovo (KPC), así como de la planificación, coordinación y ejecución de la respuesta de emergencia ante catástrofes naturales o de otro tipo.	2
Dichas precauciones, establecidas en el derecho internacional consuetudinario, son las siguientes: un beligerante debe (a) hacer todo lo posible para verificar que los objetivos que se van a atacar no son de carácter civil; (b) tomar todas las precauciones posibles en la elección de los medios y métodos de combate con miras a evitar o al menos reducir al mínimo los daños incidentales a personas civiles o a bienes de carácter civil; (c) abstenerse de lanzar ataques de los que quepa esperar que causen pérdidas incidentales de vidas de civiles o daños a personas civiles o a bienes de carácter civil que sean excesivos en relación con la ventaja militar concreta y directa prevista; (d) avisar con antelación eficaz de los ataques que puedan afectar a la población civil, salvo en caso de asalto (según lo dispuesto en el artículo 26 del Reglamento de La Haya de 1907) o, según lo dispuesto en el artículo 57(2)(C), a menos que las circunstancias no lo permitan -- a saber, cuando un beligerante considere indispensable un ataque por sorpresa.	2
Han promulgado leyes antiterroristas y se han esforzado por seguir reforzando la coordinación y la cooperación regionales, especialmente en el contexto marítimo.	2
Los principales problemas de seguridad están relacionados con la actividad delictiva y la lucha entre facciones.	1
Destaca que todos los responsables de violaciones y abusos de los derechos humanos deben rendir cuentas, y subraya la necesidad de una investigación exhaustiva, independiente e imparcial, acorde con las normas internacionales, de los presuntos abusos y violaciones de los derechos humanos, para evitar la impunidad y garantizar la plena rendición de cuentas;	3
Los sitios van desde los creados para promocionar a personas concretas, como Shamil Basayev en Chechenia, o grupos, como Lashkar-E-Tayyiba en Pakistán, hasta los que pretenden justificar el terrorismo relacionado con Al Qaeda en general, como Voice of Jihad, u ofrecer adiestramiento terrorista, como Al-Battar.	1
67. Renuevo mi llamamiento a la liberación inmediata e incondicional de todos los marinos inocentes retenidos como rehenes en Somalia para que puedan reunirse con sus familias.	3
Los dirigentes y partidarios del gobierno, por su parte, acusaron al MPCI y a otros "movimientos rebeldes" de utilizar fuerzas extranjeras y cometer atrocidades, especialmente el asesinato de decenas de miembros de la gendarmería en Bouaké.	3
La Comisión ha podido establecer un relato detallado y preciso de los sucesos de abril y mayo, que causaron importantes pérdidas de vidas humanas, heridos y daños materiales generalizados.	2
Se impartió formación a agentes de las fuerzas de seguridad nacionales (50 en Adré y 42 en Abéché).	2
Aunque la Iniciativa se concibió como respuesta al crecimiento del tráfico de drogas y de la delincuencia organizada transnacional en África Occidental, las unidades de delincuencia transnacional funcionarán como centros de fusión de las fuerzas del orden para apoyar la capacidad analítica y técnica nacional y regional de respuesta a las amenazas transnacionales.	2
Medidas selectivas y graduales como respuesta al tráfico ilícito de armas pequeñas y ligeras	1
Tres días después, los Jaleele compraron 25 fusiles de asalto AK-47, 2 cañones antiaéreos, 6 ametralladoras PKM, 4 RPG-2 y munición.	1
