en_es_GOOGLE	QuadClass
Colombia, Chile, Paraguay y Perú también han promulgado leyes que otorgan a sus autoridades encargadas de hacer cumplir la ley poderes especiales de investigación.	4
Pero, aunque el Equipo no evalúa que el asesoramiento técnico paramilitar disponible en Internet represente una amenaza a la par del entrenamiento en la vida real, el potencial aumentará a medida que mejore la calidad del asesoramiento.	1
Destacó la necesidad de fomentar el diálogo dentro de las instituciones federales de transición y alentó a sus interlocutores a utilizar su influencia con ese fin.	4
Es innegable que hay mucho en juego, ya que el incumplimiento del plazo para los referendos prescrito por el Acuerdo General de Paz podría tener graves consecuencias.	3
Algunos miembros del Consejo expresaron preocupación por el hecho de que aún no había sido posible avanzar en las investigaciones de los crímenes cometidos por los rebeldes.	4
La Dirección Ejecutiva del Comité contra el Terrorismo, por ejemplo, ha trabajado extensamente con los Estados para fortalecer sus capacidades de gestión de fronteras para controlar los movimientos terroristas y su capacidad de justicia penal para combatir el blanqueo de dinero.	2
7. Exhorta a todos los Estados a actuar estrictamente de conformidad con las disposiciones de esta resolución, sin perjuicio de la existencia de cualesquiera derechos u obligaciones conferidos o impuestos por cualquier acuerdo internacional o cualquier contrato celebrado o cualquier licencia o permiso concedido antes de la fecha de su llegada. en vigor de las medidas impuestas por el párrafo 4 anterior;	4
2. Exhorta al gobierno sirio a implementar visiblemente sus compromisos en su totalidad, como acordó hacerlo en el Entendimiento Preliminar y como se estipula en la resolución 2042 (2012), de (a) cesar los movimientos de tropas hacia centros de población, (b) cesar todo uso de armas pesadas en dichos centros, (c) retirada completa de las concentraciones militares dentro y alrededor de los centros de población, así como retirar sus tropas y armas pesadas de los centros de población a sus cuarteles o lugares de despliegue temporal para facilitar un cese sostenido de la violencia ;	3
la República Centroafricana y su unidad de guardia, el Equipo de Tareas Regional de la Unión Africana y las fuerzas francesas desplegadas en la República Centroafricana (párr. 54 a)); suministros de equipo militar no letal destinado únicamente a uso humanitario o de protección, y asistencia técnica o capacitación conexas (párr. 54 b)); ropa protectora, incluidos chalecos antibalas y cascos militares, exportados temporalmente a la República Centroafricana por personal de las Naciones Unidas, representantes de los medios de comunicación y trabajadores humanitarios y de desarrollo y personal asociado, únicamente para su uso personal (párr. 54 c)); suministros de armas pequeñas y otros equipos relacionados destinados únicamente a su uso en patrullas internacionales que brindan seguridad en el Área Protegida Trinacional del Río Sangha para defenderse contra la caza furtiva, el contrabando de marfil y armas y otras actividades contrarias a las leyes nacionales de la República Centroafricana o a las obligaciones jurídicas internacionales de la República Centroafricana (párr. 54 d)); suministros de armas y otros equipos letales conexos a las fuerzas de seguridad de la República Centroafricana, destinados únicamente a apoyar o utilizar en el proceso de reforma del sector de la seguridad en la República Centroafricana, según lo aprobado previamente por el Comité (párr. 54 e)) ; u otras ventas o suministro de armas y material conexo, o suministro de asistencia o personal (párr. 54 f)).	2
Por ejemplo, Croacia y Polonia, con el apoyo de la Oficina de Asuntos de Desarme, llevaron a cabo un examen por pares de su aplicación de la resolución, que consistió en dos rondas de debates y actividades en Varsovia y Zagreb, que fueron observados por expertos del Comité. Ese examen por pares ayudó a identificar prácticas eficaces y facilitó el intercambio de experiencias.	2
