"","es_en_DEEPL","QuadClass"
"1","Colombia, Chile, Paraguay and Peru have also enacted laws granting special investigative powers to law enforcement.",4
"2","To request the secretariat to continue to provide updated reports on the issue of possible duplication of awards in categories A and C for further consideration by the Working Group at its future meetings and to keep this issue on the agenda of the next session of the Governing Council; and to request the secretariat to approve the extension of the contract of five staff members until December 31, 2005, to support the forensic accountants and to implement the recommendations they make regarding possible duplication of awards.",0
"3","While the Monitoring Team does not consider paramilitary technical training available on the Internet to be a threat equivalent to actual training, its potential will increase as the quality of training increases.",1
"4",":: The establishment of the priority investment program for 2015-2017, amounting to 7.208 billion African Financial Community (AFC) francs (about US$15 billion).",0
"5","He stressed the need to foster dialogue within the federal transitional institutions and encouraged his interlocutors to exert their influence to that end.",4
"6","The stakes are undoubtedly very high, as failure to meet the deadline prescribed in the CPA for holding the referenda could have serious consequences.",3
"7","Some Council members mentioned with concern the fact that investigations of crimes committed by the rebels had not yet progressed.",4
"8","The United Nations Counter-Terrorism Committee Executive Directorate (CTED), for example, has worked intensively with States to strengthen their border management capacity to control terrorist movements and their criminal justice capacity to combat money laundering.",2
"9","7. Urges all States to act strictly in accordance with the provisions of this resolution, regardless of the existence of any rights conferred or obligations imposed under an international agreement or contract signed, or any license or permit granted prior to the date of entry into force of the measures provided for in paragraph 4 above;",4
"10","2. Calls upon the Government of Syria to visibly implement in full its commitments, as it agreed to do in the Preliminary Understanding and as mandated in resolution 2042 (2012), to (a) halt troop movements into population centers, (b) cease the use of heavy weapons in population centers, and (c) complete the withdrawal of military concentrations in and around population centers, as well as their troops and heavy weaponry from population centers to their barracks or temporary deployment sites, in order to facilitate a sustained cessation of violence;",3
"11","Exemptions to the arms embargo are set out in paragraph 54 of resolution 2127 (2013) and may be granted for the following: supplies intended solely for support or use by the Peacebuilding Mission in the Central African Republic, the African-led International Support Mission in the Central African Republic, the United Nations Integrated Peacebuilding Office in the Central African Republic and its guard unit, the African Union Regional Task Force and French forces deployed in the Central African Republic (para. 54 (a)); supplies of non-lethal military equipment for humanitarian or protective use only, and related technical assistance or training (para. 54 (b)); protective clothing, including flak jackets and military helmets, temporarily exported to the Central African Republic by United Nations personnel, representatives of the media and humanitarian and development workers and associated personnel for their personal use only (para. 54 (c)); supplies of arms and ammunition for humanitarian or protective use only (para. 54 (d)). 54 (c)); supplies of small arms and other related equipment intended solely for use by international patrols providing security services in the Sangha River Tri-national Protected Area to prevent poaching, ivory and arms smuggling and other activities contrary to the national legislation of the Central African Republic or its international legal obligations (para. 54 (d)); supplies of arms and other related lethal equipment to the security forces of the Central African Republic for the exclusive purpose of supporting the security sector reform process in the country or for use in that process, subject to the approval of the Committee (para. 54 (e)); or other sales or supplies of arms and related materiel, or the provision of assistance or personnel (para. 54 (f)).",2
"12","For example, Croatia and Poland, with the support of the Office for Disarmament Affairs, conducted a peer review of their implementation of the resolution. It consisted of two rounds of discussions and activities in Warsaw and Zagreb, which were observed by the Committee's experts. This peer review helped to identify effective practices and facilitated an exchange of experiences.",2
"13","There had been numerous contacts with the Government of Morocco, which, before agreeing to the resumption of shuttle diplomacy activities, had requested a meeting to clarify issues related to the most recent report of the Secretary-General (S/2014/258) and considered that this would allow the process to move forward in the best possible way.",4
"14","However, despite increased attention to this issue and positive developments, numerous obstacles remain on the ground in implementing mandates, particularly with respect to the continuing lack of clarity surrounding the concept and implementation of protection of civilians, internal and external coordination mechanisms, early warning and rapid response systems, support to host government security forces, and troop capacity and resourcing.",3
"15","Since my report to the Security Council of 2 January 2008 (S/2008/1), UNOCI has removed 15 of the 17 observation posts it had established along the Green Line, as required by the Ouagadougou Agreement.",2
